"geneID","proteinID","descrip"
"BKA90DRAFT_143812","KAE8175197.1","hypothetical protein"
"BKA90DRAFT_132270","KAE8175198.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_132271","KAE8175199.1","RPAP1-like protein"
"BKA90DRAFT_132272","KAE8175200.1","hypothetical protein"
"BKA90DRAFT_19","KAE8175201.1","eukaryotic translation initiation factor 3 subunit F"
"BKA90DRAFT_150057","KAE8175202.1","transcription factor CRF1-domain-containing protein"
"BKA90DRAFT_132277","KAE8175203.1","glucosidase II beta subunit-like-domain-containing protein"
"BKA90DRAFT_132278","KAE8175204.1","hypothetical protein"
"BKA90DRAFT_77276","KAE8175205.1","ribonuclease H-like domain-containing protein"
"BKA90DRAFT_171667","KAE8175206.1","Tubulin/FtsZ, GTPase domain-containing protein"
"BKA90DRAFT_132283","KAE8175207.1","acetyl-coenzyme A transporter 1"
"BKA90DRAFT_132284","KAE8175208.1","thiamine diphosphate-binding protein"
"BKA90DRAFT_132289","KAE8175209.1","transmembrane adaptor Erv26"
"BKA90DRAFT_165609","KAE8175210.1","hypothetical protein"
"BKA90DRAFT_91515","KAE8175211.1","translationally-controlled tumor protein"
"BKA90DRAFT_132293","KAE8175212.1","histidine phosphatase superfamily"
"BKA90DRAFT_132294","KAE8175213.1","histidine phosphatase superfamily"
"BKA90DRAFT_132295","KAE8175214.1","tRNA guanosine-2'-O-methyltransferase TRM13"
"BKA90DRAFT_132296","KAE8175215.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_132298","KAE8175216.1","hypothetical protein"
"BKA90DRAFT_155902","KAE8175217.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_132300","KAE8175218.1","ammonium transporter AmtB-like domain-containing protein"
"BKA90DRAFT_132301","KAE8175219.1","hypothetical protein"
"BKA90DRAFT_171679","KAE8175220.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_132302","KAE8175221.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132304","KAE8175222.1","GPR1/FUN34/yaaH family-domain-containing protein"
